"date","email_type","send_size_delivered","opens","clicks","open_rate","click_rate","cto_rate","number_companies","investments_1_day","investments_7_day","volume_1_day","volume_7_day","avg_investment_1_day","x1_day_volume_sends","investments_1_day_open","month","weekday"
2022-01-05,"500k email",82923,26447,800,0.3189,0.0096,0.0302,1,86,100,48253,79973,"561.08",0.58,3.25,"Jan","Wed"
2022-01-05,"500k email",82490,26379,981,0.3198,0.0119,0.0372,1,116,138,79343,93633,"683.99",0.96,4.4,"Jan","Wed"
2022-01-06,"Weekly Newsletter",339026,80893,2072,0.2386,0.0061,0.0256,11,50,120,34850,96121,"697.0",0.1,0.62,"Jan","Thu"
2022-01-06,"Weekly Newsletter",340352,80575,2072,0.2367,0.0061,0.0257,11,44,104,26050,114950,"592.05",0.08,0.55,"Jan","Thu"
2022-01-07,"Other",256941,40801,1018,0.1588,0.004,0.025,1,7,9,2958,4458,"422.57",0.01,0.17,"Jan","Fri"
2022-01-07,"Other",256969,41025,1060,0.1596,0.0041,0.0258,1,8,10,1635,11735,"204.38",0.01,0.2,"Jan","Fri"
2022-01-10,"500k email",56475,16997,417,0.301,0.0074,0.0245,1,9,10,7125,8150,"791.67",0.13,0.53,"Jan","Mon"
2022-01-10,"500k email",57006,16714,384,0.2932,0.0067,0.023,1,11,11,8550,8550,"777.27",0.15,0.66,"Jan","Mon"
2022-01-12,"500k email",22686,7607,236,0.3353,0.0104,0.031,1,13,17,18000,21840,"1384.62",0.79,1.71,"Jan","Wed"
2022-01-12,"500k email",23318,8853,362,0.3797,0.0155,0.0409,1,19,26,25335,41835,"1333.42",1.09,2.15,"Jan","Wed"
2022-01-12,"250k email",53583,18296,685,0.3415,0.0128,0.0374,1,38,43,15483,40908,"407.45",0.29,2.08,"Jan","Wed"
2022-01-13,"Weekly Newsletter",681057,166933,4914,0.2451,0.0072,0.0294,25,131,297,104908,293466,"800.82",0.15,0.78,"Jan","Thu"
2022-01-18,"250k email",49430,16844,354,0.3408,0.0072,0.021,1,3,4,1000,1500,"333.33",0.02,0.18,"Jan","Tue"
2022-01-18,"250k email",49423,16768,368,0.3393,0.0074,0.0219,1,6,10,2150,5400,"358.33",0.04,0.36,"Jan","Tue"
2022-01-18,"250k email",26362,7682,186,0.2914,0.0071,0.0242,1,8,8,1401,1401,"175.13",0.05,1.04,"Jan","Tue"
2022-01-18,"250k email",26503,7652,188,0.2887,0.0071,0.0246,1,3,3,700,700,"233.33",0.03,0.39,"Jan","Tue"
2022-01-19,"250k email",82522,26735,614,0.324,0.0074,0.023,1,8,9,10750,11250,"1343.75",0.13,0.3,"Jan","Wed"
2022-01-20,"Weekly Newsletter",341073,82359,2463,0.2415,0.0072,0.0299,21,113,214,52995,128964,"468.98",0.16,1.37,"Jan","Thu"
2022-01-20,"Weekly Newsletter",340154,82014,2457,0.2411,0.0072,0.03,21,128,218,135725,198048,"1060.35",0.4,1.56,"Jan","Thu"
2022-01-21,"Other",225200,33245,1056,0.1476,0.0047,0.0318,0,0,0,0,0,"$NaN",0,0,"Jan","Fri"
2022-01-21,"Other",224853,33710,1092,0.1499,0.0049,0.0324,0,0,0,0,0,"$NaN",0,0,"Jan","Fri"
2022-01-21,"Other",225200,33245,1056,0.1476,0.0047,0.0318,1,11,16,7750,29250,"704.55",0.03,0.33,"Jan","Fri"
2022-01-21,"Other",224853,33710,1092,0.1499,0.0049,0.0324,1,7,13,3800,7300,"542.86",0.02,0.21,"Jan","Fri"
2022-01-24,"500k email",49523,18564,354,0.3749,0.0071,0.0191,1,1,2,500,600,"500.0",0.01,0.05,"Jan","Mon"
2022-01-24,"Other",39544,11495,368,0.2907,0.0093,0.032,0,0,0,0,0,"$NaN",0,0,"Jan","Mon"
2022-01-25,"500k email",34491,12723,250,0.3689,0.0072,0.0196,1,4,4,2577,2577,"644.25",0.07,0.31,"Jan","Tue"
2022-01-25,"500k email",34483,12645,245,0.3667,0.0071,0.0194,1,9,9,3900,3900,"433.33",0.11,0.71,"Jan","Tue"
2022-01-26,"500k email",45994,13340,466,0.29,0.0101,0.0349,1,40,51,32275,44825,"806.88",0.7,3,"Jan","Wed"
2022-01-26,"500k email",45753,13287,491,0.2904,0.0107,0.037,1,23,36,19050,25770,"828.26",0.42,1.73,"Jan","Wed"
